path,true,pred
C:/MedicinalPlantApp\data\val\Arive-Dantu\__32_7174768.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__33_3399255.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__35_6921164.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__36_6140400.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__36_9729878.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__37_6461126.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__38_1823503.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__39_218012.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__39_2993222.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__43_1937776.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__44_9132200.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__46_7120676.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__47_1704960.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__47_4347575.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__48_7884057.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__54_4666161.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__58_2656863.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__58_3287693.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__59_7523084.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__5_6969188.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__61_5535043.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__61_8558987.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__62_1812007.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__63_3997181.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__63_5783670.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__66_2025053.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__66_6414646.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__67_1784511.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__68_3520749.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__69_3511902.png,Arive-Dantu,Mango
C:/MedicinalPlantApp\data\val\Arive-Dantu\__69_7154790.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__70_1632285.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__70_4992651.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__73_2552633.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__74_5766250.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__75_4285078.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__76_6172065.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__77_4972428.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__78_4512343.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__7_2196379.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__7_4662425.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__80_3690483.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__81_185715.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__83_4314229.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__85_4464312.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__87_126833.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__89_7938951.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__8_5215548.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__90_9953548.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__91_7790622.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__92_7999434.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__93_1752053.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__93_3606375.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__95_4046303.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__95_5110881.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__97_6007097.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__97_9641114.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__98_7048531.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__98_7218374.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__99_7642955.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__9_7730050.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Basale\__100_6599372.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__101_6833333.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__101_872910.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__102_7497494.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__10_2763685.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__11_5608895.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__11_8729155.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__12_9403222.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__13_8045254.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__13_8818473.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__14_3859998.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__15_7114296.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__17_2349622.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__19_5902109.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__19_9816569.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__20_2326141.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__20_5953086.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__26_4001184.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__27_2697024.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__27_7943632.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__28_6383959.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__29_5462955.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__30_5468902.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__31_5582067.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__32_7580998.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__32_947883.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__34_2207176.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__35_418214.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__36_6618704.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__38_4952189.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__39_1038847.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__39_1395251.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__39_7911577.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__3_7816049.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__3_8125567.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__3_922301.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__40_6977614.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__40_8521019.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__43_2420482.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__43_6769912.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__45_1111345.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__45_2361607.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__45_8047427.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__48_1016461.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__48_4332113.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__49_6326857.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__49_825750.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__4_5221491.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__4_6036300.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__50_694107.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__51_5454906.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__51_5732972.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__51_999775.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__54_2209346.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__56_1149837.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__58_5332216.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__59_9544650.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__61_1168184.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__62_1568521.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__62_5125507.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__64_4744659.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__65_6576474.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__66_2851252.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__67_1143582.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__67_8168184.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__69_9381010.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__6_2123927.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__6_4522107.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__70_5116742.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__70_8348226.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__71_3311296.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__71_362385.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__73_6438113.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__75_2269253.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__75_5338204.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__75_5948738.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__77_3119209.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__78_3189513.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__79_3182315.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__7_3988142.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__82_4781591.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__82_9605157.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__83_9838675.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__84_1619741.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__85_3186560.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__86_6169070.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__86_8996716.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__87_320346.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__87_7413163.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__8_4781042.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__91_4742725.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__91_5308419.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__91_7796948.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__92_1644021.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__93_5677001.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__94_6733054.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__96_3035098.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__97_189666.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__98_4640934.png,Basale,Betel
C:/MedicinalPlantApp\data\val\Basale\__99_4220806.png,Basale,Mango
C:/MedicinalPlantApp\data\val\Betel\__0_1506402.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__0_2353287.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__0_3360397.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__0_6425534.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__10_5415879.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__11_7758608.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__12_2053345.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__12_8255460.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__12_9550720.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__13_3965182.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__13_5840062.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__13_973533.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__14_8321122.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__15_6507194.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__15_7833014.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__16_6443798.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__16_8153965.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__17_2063511.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__17_4703529.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__17_9270465.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__18_2667113.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__19_1094897.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__1_2111952.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__1_3353481.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__1_5550450.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__1_8770961.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__20_9904156.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__22_2164905.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__22_413978.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__22_6602388.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__22_6748874.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__22_7723014.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__23_2875936.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__23_4279433.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__23_4601849.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__23_4904504.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__25_8365969.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__25_8371345.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__25_862973.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__26_8092004.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__27_2300241.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__27_431161.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__27_437426.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__27_5386032.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__27_9163317.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__28_111135.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__28_2031361.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__28_2893527.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__28_5597875.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__29_3307132.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__29_606226.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__2_7002098.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__2_7419950.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__2_8778335.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__30_6274683.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__31_4456084.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__31_5935876.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__31_699043.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__33_9699734.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__34_7633586.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__34_8194763.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__35_3720395.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__35_6166101.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__35_8756668.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__36_6573232.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__37_7576969.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__37_9729526.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__38_4352684.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__38_4368577.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__38_5239294.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__38_6191559.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__38_763040.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__39_4232073.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__39_5481313.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__41_855129.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__44_1215457.png,Betel,Drumstick
C:/MedicinalPlantApp\data\val\Betel\__44_1293952.png,Betel,Jamaica_Cherry-Gasagase
C:/MedicinalPlantApp\data\val\Betel\__44_9564615.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__45_1963621.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__45_2474650.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__45_9715243.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__47_517972.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__47_8670386.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__4_3672921.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__4_8171493.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__5_4253605.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__5_8554009.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__6_1748501.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__6_4178546.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__7_8189942.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__9_2093121.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Betel\__9_8388545.png,Betel,Crape_Jasmine
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__0_4587016.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__0_7818576.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__0_8853409.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__0_9267065.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__11_1441158.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__11_4196276.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__12_2001509.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__12_7871392.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__13_1087610.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__15_411553.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__15_9720468.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__16_2359941.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__16_3521184.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__16_5869946.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__17_2321435.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__17_7175584.png,Crape_Jasmine,Indian_Beech
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__17_7924403.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__18_3734323.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__18_5985343.png,Crape_Jasmine,Curry
C:/MedicinalPlantApp\data\val\Crape_Jasmine\__18_7182234.png,Crape_Jasmine,Curry
